Blended Classifiers,Total Classifers,Accuracy,Precision,Recall,F1-Score,Confusion Matrix,Kappa,Execution Time (s),Total Classifiers,Total Features,Training Data Size,Test Data Size,Random State,Preprocessing,SMOTE,Total CPU Cores,CPU Usage (%),Total RAM,Memory Usage,Processor Type,OS
"('Logistic Regression', 'Support Vector Machine')",2,0.8338658146964856,0.8427833919726837,0.8338658146964856,0.8341830163689087,"[[572  37   1]
 [125 478  21]
 [ 16 112 516]]",0.7511139504399308,678.9841613769531,2,11381,7512,1878,x,0,1,2,85.60000000000001,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7651757188498403,0.8009074467389313,0.7651757188498403,0.7622334945726265,"[[601   7   2]
 [183 413  28]
 [125  96 423]]",0.6488719528481632,7.865291357040405,2,11381,7512,1878,x,0,1,2,86.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7651757188498403,0.8009074467389313,0.7651757188498403,0.7622334945726265,"[[601   7   2]
 [183 413  28]
 [125  96 423]]",0.6488719528481632,7.865291357040405,2,11381,7512,1878,x,0,1,2,86.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7449414270500533,0.7860634061235647,0.7449414270500533,0.7411206672652377,"[[592   6   1]
 [199 404  45]
 [145  83 403]]",0.6193839734251431,2.4301109313964844,2,11381,7512,1878,x,0,1,2,32.2,12982.625,3.29 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7651757188498403,0.8009074467389313,0.7651757188498403,0.7622334945726265,"[[601   7   2]
 [183 413  28]
 [125  96 423]]",0.6488719528481632,7.865291357040405,2,11381,7512,1878,x,0,1,2,86.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7449414270500533,0.7860634061235647,0.7449414270500533,0.7411206672652377,"[[592   6   1]
 [199 404  45]
 [145  83 403]]",0.6193839734251431,2.4301109313964844,2,11381,7512,1878,x,0,1,2,32.2,12982.625,3.29 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7449414270500533,0.7860634061235647,0.7449414270500533,0.7411206672652377,"[[592   6   1]
 [199 404  45]
 [145  83 403]]",0.6193839734251431,2.3442721366882324,2,11381,7512,1878,x,0,1,2,49.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7651757188498403,0.8009074467389313,0.7651757188498403,0.7622334945726265,"[[601   7   2]
 [183 413  28]
 [125  96 423]]",0.6488719528481632,7.865291357040405,2,11381,7512,1878,x,0,1,2,86.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7449414270500533,0.7860634061235647,0.7449414270500533,0.7411206672652377,"[[592   6   1]
 [199 404  45]
 [145  83 403]]",0.6193839734251431,2.4301109313964844,2,11381,7512,1878,x,0,1,2,32.2,12982.625,3.29 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7449414270500533,0.7860634061235647,0.7449414270500533,0.7411206672652377,"[[592   6   1]
 [199 404  45]
 [145  83 403]]",0.6193839734251431,2.3442721366882324,2,11381,7512,1878,x,0,1,2,49.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7422790202342918,0.787820278361031,0.7422790202342918,0.7376920309915223,"[[624   6   1]
 [199 387  46]
 [167  65 383]]",0.6129299302300228,2.4468321800231934,2,11381,7512,1878,x,0,1,2,38.8,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7651757188498403,0.8009074467389313,0.7651757188498403,0.7622334945726265,"[[601   7   2]
 [183 413  28]
 [125  96 423]]",0.6488719528481632,7.865291357040405,2,11381,7512,1878,x,0,1,2,86.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7449414270500533,0.7860634061235647,0.7449414270500533,0.7411206672652377,"[[592   6   1]
 [199 404  45]
 [145  83 403]]",0.6193839734251431,2.4301109313964844,2,11381,7512,1878,x,0,1,2,32.2,12982.625,3.29 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7449414270500533,0.7860634061235647,0.7449414270500533,0.7411206672652377,"[[592   6   1]
 [199 404  45]
 [145  83 403]]",0.6193839734251431,2.3442721366882324,2,11381,7512,1878,x,0,1,2,49.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7422790202342918,0.787820278361031,0.7422790202342918,0.7376920309915223,"[[624   6   1]
 [199 387  46]
 [167  65 383]]",0.6129299302300228,2.4468321800231934,2,11381,7512,1878,x,0,1,2,38.8,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7422790202342918,0.787820278361031,0.7422790202342918,0.7376920309915223,"[[624   6   1]
 [199 387  46]
 [167  65 383]]",0.6129299302300228,2.682997465133667,2,11381,7512,1878,x,0,1,2,84.2,12982.625,16.68 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.50343918800354,2,10837,7512,1878,42,1,1,2,37.0,12982.625,14.80 MB,x86_64,Linux(5.15.120+)
"('SDG', 'Support Vector Machine')",2,0.8541001064962727,0.8601388184127335,0.8541001064962727,0.8533468986251876,"[[609  19   3]
 [117 493  22]
 [ 16  97 502]]",0.7810042094932563,632.2055938243866,3,10837,7512,1878,42,1,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG', 'Support Vector Machine')",3,0.8498402555910544,0.8511592093644419,0.8498402555910544,0.8484681838920045,"[[585  37   9]
 [112 471  49]
 [ 18  57 540]]",0.7747233044461431,681.3285353183746,3,10837,7512,1878,42,1,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'SDG')",2,0.8450479233226837,0.8485268842995266,0.8450479233226837,0.84352102599118,"[[596  27   8]
 [122 466  44]
 [ 25  65 525]]",0.7675010848570967,74.13335537910461,3,10837,7512,1878,42,1,1,2,71.9,12982.625,53.98 MB,x86_64,Linux(5.15.120+)
"('Logistic Regression', 'Support Vector Machine')",2,0.8397231096911608,0.8473945780318741,0.8397231096911608,0.8395156536060713,"[[595  32   4]
 [117 494  21]
 [ 23 104 488]]",0.7593992450979892,664.5888524055481,3,10837,7512,1878,42,1,1,2,0.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('SDG', 'Support Vector Machine')",2,0.8498402555910544,0.8578185955226618,0.8498402555910544,0.8491494633350825,"[[609  19   3]
 [123 490  19]
 [ 25  93 497]]",0.7745985645020702,630.9698269367218,2,10837,7512,1878,42,1,1,2,85.80000000000001,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.449835062026977,2,10837,7512,1878,42,1,1,2,53.400000000000006,12982.625,4.48 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.449835062026977,2,10837,7512,1878,42,1,1,2,53.400000000000006,12982.625,4.48 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.4244699478149414,2,10837,7512,1878,42,1,1,2,59.1,12982.625,1.16 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7523961661341853,0.7878772310294945,0.7523961661341853,0.74613181968366,"[[644   0   2]
 [185 390  44]
 [148  86 379]]",0.6268990542059573,2.3260748386383057,2,10837,7512,1878,0,1,1,2,38.99999999999999,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4386894702911377,2,10837,7512,1878,0,1,1,2,24.8,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7523961661341853,0.7878772310294945,0.7523961661341853,0.74613181968366,"[[644   0   2]
 [185 390  44]
 [148  86 379]]",0.6268990542059573,2.3260748386383057,2,10837,7512,1878,0,1,1,2,38.99999999999999,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.377720594406128,2,10837,7512,1878,0,1,1,2,31.9,12982.625,23.20 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4386894702911377,2,10837,7512,1878,0,1,1,2,24.8,12982.625,0 bytes,x86_64,Linux(5.15.120+)
